نوع العقار,المدينة,الحي,الواجهة,عدد الغرف,عدد الصالات,عدد الحمامات,المساحة,مطبخ,مدخل سيارة,مصعد,الدور,عمر العقار,مؤثثة,السعر الاجمالي
شقة,الرياض, حي العليا ,ثلاث شوارع,4,2,5+,217,True,True,True,غير معروف,5,True,3500000
شقة,الرياض, حي النرجس ,شمالية,3,1,3,240,True,True,False,أرضي,0,False,1350000
شقة,الرياض, حي العارض ,شمالية,3,1,3,120,True,True,True,ارضي,0,False,1000000
شقة,الرياض, حي النرجس ,غير معروف,3,1,3,214,False,True,True,علوي,0,False,959000
شقة,الرياض, حي الفلاح ,غير معروف,3,1,3,132,False,False,False,علوي,0,False,1065000
شقة,الرياض, حي الملقا ,شرقية,3,1,4,148,True,False,True,علوي,0,True,1350000
شقة,الرياض, حي العارض ,غير معروف,3,1,2,109,True,False,True,علوي,4,False,820000
شقة,الرياض, حي الملقا ,شمالية,3,1,3,161,False,False,True,علوي,0,False,1429000
شقة,الرياض, حي العارض ,جنوبية,3,1,3,200,True,False,True,أرضي,0,False,1100000
شقة,الرياض, حي الملقا ,غير معروف,3,1,3,114,False,False,False,غير معروف,0,False,850000
شقة,الرياض, حي الملقا ,غربية,3,1,3,210,True,False,True,غير معروف,0,True,1700000
شقة,الرياض, حي النرجس ,شرقية,3,1,3,132,True,False,True,أرضي,0,False,985000
شقة,الرياض, حي حطين ,شمالية غربية,3,2,3,155,True,False,False,علوي,0,False,1260000
شقة,الرياض, حي النرجس ,غير معروف,2,2,2,129,False,False,True,علوي,0,False,830000
شقة,الرياض, الرياض ,غير معروف,4,1,3,140,False,True,True,علوي,0,False,1250000
شقة,الرياض, حي العارض ,جنوبية,3,2,3,147,True,True,True,غير معروف,0,False,959000
شقة,الرياض, حي الملقا ,غربية,3,2,3,117,True,False,True,أرضي,0,False,1179000
شقة,الرياض, حي حطين ,شرقية,3,1,2,104,True,True,True,3,0,False,745000
شقة,الرياض, حي الندى ,شرقية,3,1,3,135,True,True,True,أرضي,3,False,1300000
شقة,الرياض, حي الملقا ,شمالية,3,1,3,129,True,False,True,علوي,0,True,1200000
شقة,الرياض, حي العارض ,جنوبية غربية,4,1,4,188,False,True,True,ثاني,0,False,1200000
شقة,الرياض, الرياض ,غير معروف,3,1,3,134,False,True,True,أرضي,0,False,1350000
شقة,الرياض, الرياض ,شرقية,3,1,5+,428,True,False,False,علوي,0,False,1650000
شقة,الرياض, حي الملك فهد ,غير معروف,3,1,3,100,True,False,True,علوي,0,False,980000
شقة,الرياض, الرياض ,شمالية,3,1,2,104,False,True,True,3,1,False,715000
شقة,الرياض, حي الياسمين ,شمالية,4,1,4,204,True,False,False,أرضي,13,True,1550000
شقة,الرياض, حي النخيل ,غير معروف,3,2,3,169,True,False,False,3,0,False,1490000
شقة,الرياض, حي العارض ,شرقية,3,1,4,341,False,False,False,ارضي,0,False,1450000
شقة,الرياض, حي الوادي ,جنوبية,3,1,3,126,True,False,False,علوي,2,True,970000
شقة,الرياض, حي العارض ,شرقية,3,1,3,120,True,True,True,ارضي,0,False,1100000
شقة,الرياض, الرياض ,غير معروف,4,1,3,126,True,False,True,علوي,7,True,1350000
شقة,الرياض, حي الملقا ,شرقية,4,2,4,232,True,True,True,3,1,True,1500000
شقة,الرياض, حي العقيق ,شرقية,3,1,3,135,True,False,True,علوي,11,True,850000
شقة,الرياض, الرياض ,جنوبية,3,2,3,130,True,False,False,أرضي,0,False,840000
شقة,الرياض, حي المصيف ,شمالية شرقية,3,1,2,107,True,True,True,أرضي,7,False,750000
شقة,الرياض, حي النفل ,شمالية,2,1,3,93,False,False,True,4,0,False,1070000
شقة,الرياض, حي الملقا ,شمالية غربية,3,2,3,124,False,False,True,3,0,False,950000
شقة,الرياض, حي الملقا ,غير معروف,3,1,3,140,True,True,True,علوي,0,False,850000
شقة,الرياض, حي النرجس ,غربية,6,2,3,256,False,False,True,علوي,0,False,1399000
شقة,الرياض, حي النرجس ,غير معروف,3,3,3,130,True,False,False,أرضي,0,False,890000
شقة,الرياض, حي العقيق ,شمالية,4,2,4,139,True,False,True,غير معروف,8,True,800000
شقة,الرياض, حي النفل ,شمالية,3,1,3,126,False,False,False,غير معروف,2,False,970000
شقة,الرياض, حي النفل ,شمالية,3,1,3,174,True,False,True,غير معروف,0,False,850000
شقة,الرياض, حي الملقا ,جنوبية شرقية,3,1,3,113,True,False,True,أرضي,0,False,1020000
شقة,الرياض, حي حطين ,شرقية,2,2,2,104,True,True,True,4,0,False,715000
شقة,الرياض, حي العارض ,شرقية,2,1,3,61,True,False,False,علوي,0,False,750000
شقة,الرياض, الرياض ,شرقية,3,1,3,163,False,False,True,علوي,0,False,985000
شقة,الرياض, حي النرجس ,جنوبية,2,2,3,117,True,False,True,3,0,False,849000
شقة,الرياض, حي الملقا ,شرقية,4,2,3,168,True,True,True,علوي,0,False,1200000
شقة,الرياض, حي النرجس ,ثلاث شوارع,1,0,3,151,True,False,True,أرضي,0,False,900000
شقة,الرياض, حي النرجس ,شمالية,3,2,5+,226,True,True,False,أرضي,8,False,1650000
شقة,الرياض, حي النرجس ,غير معروف,2,1,3,129,True,False,False,علوي,0,False,830000
شقة,الرياض, حي التعاون ,شمالية,3,1,3,140,True,False,False,أرضي,4,False,1200000
شقة,الرياض, حي النخيل ,جنوبية,3,2,5+,216,True,False,True,أرضي,3,False,1200000
شقة,الرياض, حي المغرزات ,شرقية,3,1,3,218,True,True,True,4,0,False,1379000
شقة,الرياض, حي العارض ,جنوبية,3,1,3,216,True,False,True,أرضي,3,False,1180000
شقة,الرياض, حي الملقا ,شرقية,1,1,3,86,True,True,True,علوي,0,False,900000
شقة,الرياض, حي العارض ,جنوبية,3,2,2,129,True,False,True,أرضي,0,False,1000000
شقة,الرياض, الرياض ,غير معروف,3,2,2,176,True,True,True,علوي,1,False,1350000
شقة,الرياض, حي النرجس ,جنوبية غربية,3,1,3,172,False,False,False,أرضي,0,False,1100000
شقة,الرياض, حي الياسمين ,شمالية,3,2,4,212,True,False,True,أرضي,10,False,1000000
شقة,الرياض, حي الملقا ,شرقية,3,1,3,134,True,False,False,علوي,0,False,980000
