نوع العقار,المدينة,الحي,الواجهة,عدد الغرف,عدد الصالات,عدد الحمامات,عرض الشارع,المساحة,درج صالة,مطبخ,غرفة خادمة,غرفة سائق,ملحق,حوش,مسبح,قبو,مدخل سيارة,مصعد,السعر الاجمالي,السعر المربع
فيلا,الرياض, حي عكاظ ,شرقية,7,3,5,5.0,320.0,1,1,1,0,1,1,0,0,1,0,1200000.0,3750.0
فيلا,الرياض, الرياض ,غربية,5,2,5,15.0,259.0,1,1,1,0,1,1,0,0,1,0,820000.0,3166.023166023166
فيلا,الرياض, الرياض ,غربية,5,2,5,15.0,276.0,1,1,1,0,1,1,0,0,1,0,830000.0,3007.246376811594
فيلا,الرياض, حي بدر ,شمالية,5,2,5,15.0,262.0,1,1,1,0,1,1,0,0,1,0,850000.0,3244.2748091603053
فيلا,الرياض, حي عكاظ ,جنوبية,5,3,5,25.0,325.0,1,1,1,0,1,1,1,0,1,0,950000.0,2923.076923076923
فيلا,الرياض, حي بدر ,شمالية,5,2,5,20.0,225.0,1,1,1,0,1,1,0,0,1,0,845000.0,3755.5555555555557
فيلا,الرياض, حي طيبة ,غربية,5,2,5,15.0,276.0,1,1,1,0,1,1,0,0,1,0,830000.0,3007.246376811594
فيلا,الرياض, حي بدر ,شمالية غربية,5,2,5,15.0,286.0,1,1,1,0,1,1,0,0,1,0,940000.0,3286.713286713287
فيلا,الرياض, الرياض ,شرقية,5,2,5,15.0,271.0,1,1,1,0,1,1,0,0,1,0,825000.0,3044.280442804428
فيلا,الرياض, حي بدر ,شرقية,5,2,5,20.0,250.0,1,1,1,0,1,1,0,0,1,0,840000.0,3360.0
فيلا,الرياض, حي بدر ,شمالية,5,2,5,15.0,269.0,1,1,1,0,1,1,0,0,1,0,940000.0,3494.4237918215613
فيلا,الرياض, حي بدر ,جنوبية,5,2,5,18.0,304.0,1,1,1,0,1,1,0,0,1,0,950000.0,3125.0
فيلا,الرياض, حي عكاظ ,جنوبية,3,1,4,15.0,300.0,0,1,0,0,0,1,0,0,1,0,800000.0,2666.6666666666665
فيلا,الرياض, حي بدر ,شرقية,5,3,5,20.0,303.0,1,1,1,0,1,1,0,0,1,0,850000.0,2805.2805280528055
فيلا,الرياض, حي بدر ,جنوبية,6,3,5,18.0,300.0,1,1,1,0,0,1,0,0,1,0,850000.0,2833.3333333333335
فيلا,الرياض, حي عكاظ ,شرقية,5,2,5,21.0,300.0,1,1,1,0,1,1,0,0,1,0,880000.0,2933.3333333333335
فيلا,الرياض, حي بدر ,جنوبية,5,3,5,18.0,303.0,1,1,1,0,1,1,0,0,1,0,850000.0,2805.2805280528055
فيلا,الرياض, حي بدر ,شرقية,5,2,5,20.0,210.0,1,1,1,0,1,1,0,0,1,0,780000.0,3714.285714285714
فيلا,الرياض, حي بدر ,شرقية,5,2,5,20.0,216.0,1,1,1,0,0,1,0,0,1,0,830000.0,3842.5925925925926
فيلا,الرياض, حي بدر ,شمالية,5,2,5,20.0,250.0,1,1,1,0,1,1,0,0,1,0,850000.0,3400.0
فيلا,الرياض, حي بدر ,جنوبية,5,2,5,20.0,320.0,1,1,1,0,1,1,0,0,1,0,1000000.0,3125.0
فيلا,الرياض, حي بدر ,شمالية,5,3,5,20.0,320.0,1,1,1,0,1,1,0,0,1,0,950000.0,2968.75
فيلا,الرياض, حي بدر ,شرقية,5,3,5,30.0,275.0,1,1,1,0,1,1,0,0,1,0,870000.0,3163.6363636363635
فيلا,الرياض, حي عكاظ ,شمالية,5,2,5,20.0,300.0,1,1,1,0,1,1,0,0,1,0,880000.0,2933.3333333333335
فيلا,الرياض, حي عكاظ ,شمالية,5,3,5,20.0,360.0,1,1,1,0,1,1,0,0,1,0,1000000.0,2777.777777777778
فيلا,الرياض, حي الدار البيضاء ,شمالية,5,2,5,20.0,246.0,1,1,1,0,1,1,0,0,1,0,825000.0,3353.6585365853657
فيلا,الرياض, حي طيبة ,شمالية غربية,5,2,5,20.0,269.0,1,1,1,0,0,1,0,0,0,0,850000.0,3159.8513011152418
فيلا,الرياض, حي عكاظ ,شرقية,7,3,5,15.0,375.0,0,1,1,0,1,1,0,0,1,0,1500000.0,4000.0
فيلا,الرياض, الرياض ,جنوبية,6,3,5,5.0,265.0,1,1,1,1,0,1,0,0,1,0,1200000.0,4528.301886792453
فيلا,الرياض, حي عكاظ ,شرقية,7,3,5,20.0,360.0,1,1,1,0,1,1,0,0,1,0,1450000.0,4027.777777777778
فيلا,الرياض, حي الدار البيضاء ,شمالية,4,1,3,20.0,250.0,0,1,0,0,0,0,0,0,0,0,525000.0,2100.0
فيلا,الرياض, حي الدار البيضاء ,غربية,7,2,5,15.0,500.0,1,1,1,0,1,1,0,0,1,0,1200000.0,2400.0
فيلا,الرياض, حي الشفا ,شمالية,5,4,5,18.0,300.0,1,1,1,0,1,1,0,0,1,0,1200000.0,4000.0
فيلا,الرياض, حي الشفا ,ثلاث شوارع,7,2,5,0.0,270.0,1,1,1,1,0,0,0,0,1,0,1000000.0,3703.703703703704
فيلا,الرياض, حي العزيزية ,جنوبية,7,3,5,20.0,608.0,1,1,1,0,1,1,0,0,1,0,1700000.0,2796.0526315789475
فيلا,الرياض, حي الدار البيضاء ,شمالية,5,5,5,15.0,250.0,0,1,1,0,0,1,0,0,1,0,850000.0,3400.0
فيلا,الرياض, حي احد ,جنوبية,4,1,4,0.0,25.0,1,1,0,0,0,0,0,0,0,0,880000.0,35200.0
فيلا,الرياض, حي عكاظ ,جنوبية,7,3,4,0.0,300.0,0,1,0,0,0,0,0,0,1,0,1300000.0,4333.333333333333
فيلا,الرياض, حي الدار البيضاء ,شمالية,7,2,5,20.0,220.0,1,0,1,1,1,1,0,0,1,0,950000.0,4318.181818181818
فيلا,الرياض, حي جرير ,شرقية,7,1,4,0.0,400.0,0,1,1,0,1,1,0,0,1,0,1300000.0,3250.0
فيلا,الرياض, حي الربوة ,شمالية,5,3,5,0.0,336.0,0,1,0,0,1,1,0,0,0,0,1390000.0,4136.9047619047615
فيلا,الرياض, حي الربوة ,شمالية,5,1,3,12.0,274.0,0,1,1,0,0,0,0,0,1,0,1150000.0,4197.080291970803
فيلا,الرياض, حي الفاروق ,جنوبية,4,1,4,16.0,756.0,1,1,0,0,0,0,0,0,0,0,3300000.0,4365.079365079365
فيلا,الرياض, حي الربوة ,ثلاث شوارع,7,2,5,12.0,868.0,1,1,1,1,1,1,0,0,1,0,4000000.0,4608.294930875576
فيلا,الرياض, حي الربوة ,شمالية,4,2,4,20.0,1601.0,1,1,1,1,1,1,1,0,1,0,6564100.0,4100.0
فيلا,الرياض, حي الخالدية ,شمالية شرقية,5,2,5,15.0,480.0,0,1,0,0,0,0,0,0,0,0,1200000.0,2500.0
فيلا,الرياض, حي الزهراء ,شرقية,7,3,5,10.0,542.0,0,1,1,1,0,1,0,0,0,0,2100000.0,3874.5387453874537
فيلا,الرياض, حي الرمال ,شمالية,7,2,5,20.0,281.0,1,1,1,1,1,1,0,0,1,0,1350000.0,4804.270462633452
فيلا,الرياض, حي النسيم الغربي ,ثلاث شوارع,7,4,5,0.0,765.0,1,1,0,0,0,1,0,0,0,0,2750000.0,3594.7712418300653
